rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Rat 4 2025-11-12 12-25-01,img000000.png,893,439,955,523,752,387,578,406,487,581,398,678,203,683,183,581,236,442,,,,,721,683,,,,,,,648,618,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img000569.png,,,,,,,787,348,849,515,839,650,,,,,,,,,716,657,,,,,,,,,,,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img001137.png,,,,,,,473,443,789,344,568,488,637,401,401,449,,,,,,,759,654,,,1160,442,992,466,708,540,736,614,,,952,691
labeled-data,Rat 4 2025-11-12 12-25-01,img001706.png,871,515,844,711,856,449,814,362,760,308,,,608,462,497,459,364,466,,,,,,,,,,,,,,,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img002843.png,979,435,1176,426,886,416,850,313,726,338,,,617,409,526,433,438,479,,,,,709,594,,,1032,603,927,527,715,488,698,547,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img003411.png,1031,475,,,911,406,839,327,733,347,,,610,431,467,475,324,500,,,,,695,563,,,934,647,880,552,721,449,689,526,,,1004,624
labeled-data,Rat 4 2025-11-12 12-25-01,img003980.png,1001,470,1203,527,910,433,814,305,679,404,605,516,496,559,420,581,,,,,,,779,633,,,,,,,750,546,723,601,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img004549.png,1060,297,1194,385,876,291,718,335,657,438,605,509,507,493,439,515,,,,,822,586,758,644,,,1154,459,1014,465,750,488,728,596,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img005117.png,,,,,,,783,310,644,415,,,580,493,476,492,,,,,795,569,770,630,,,1160,448,1001,429,715,533,729,600,,,1032,564
labeled-data,Rat 4 2025-11-12 12-25-01,img006254.png,1048,563,,,930,475,783,367,620,488,530,614,399,665,,,,,,,,,802,683,,,,,,,742,594,748,665,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img006823.png,,,,,,,698,378,563,510,484,583,376,606,,,,,,,,,739,694,,,,,,,685,589,682,674,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img007391.png,873,431,877,587,792,335,662,288,576,398,529,482,436,557,362,616,,,,,,,654,570,,,792,576,748,492,634,459,617,526,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img008529.png,952,448,1126,452,843,414,691,365,527,463,455,557,348,570,305,533,411,476,,,,,709,668,,,960,646,871,596,669,577,651,646,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img010234.png,991,475,,,887,419,753,330,605,441,521,559,429,580,331,581,,,,,,,792,630,,,,,,,728,526,706,611,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img011371.png,833,414,,,748,379,621,352,536,470,529,574,557,692,,,965,670,,,,,652,583,,,,,,,657,490,617,586,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img011940.png,,,,,,,521,378,435,539,322,650,241,613,243,547,,,,,,,600,647,,,,,,,,,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img014783.png,1008,438,1193,482,880,411,762,342,622,466,537,563,409,566,,,,,,,,,768,664,,,,,,,719,537,711,644,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img015351.png,972,469,,,847,428,701,325,608,426,531,532,412,572,318,589,,,,,,,785,581,,,,,,,712,498,726,573,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img015920.png,881,445,923,647,777,367,647,314,,,,,455,506,364,526,,,,,691,596,679,658,,,,,,,625,542,648,607,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img017057.png,1062,286,,,914,311,763,307,684,424,622,536,477,537,381,549,,,,,853,581,809,637,,,1201,459,1042,438,762,522,768,611,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img017626.png,1024,526,,,897,482,729,384,612,485,540,566,445,536,374,523,,,,,,,746,704,,,,,969,668,708,628,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img018194.png,1060,563,,,927,492,766,378,624,496,539,591,402,636,322,600,,,,,,,785,674,,,,,,,743,584,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img019900.png,307,472,,,419,405,547,352,,,,,,,,,,,688,513,657,610,,,,,,,,,,,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img021037.png,446,384,445,529,490,310,594,298,,,728,461,797,446,864,443,,,601,455,544,533,,,,,,,,,,,,,587,512,,
labeled-data,Rat 4 2025-11-12 12-25-01,img021606.png,405,350,408,490,496,298,594,284,665,384,722,463,812,448,897,463,,,598,468,533,532,524,496,489,441,,,,,,,,,591,517,428,498
labeled-data,Rat 4 2025-11-12 12-25-01,img023880.png,,,,,,,566,352,544,500,544,599,507,705,,,311,621,,,,,,,,,,,,,,,,,,,,
labeled-data,Rat 4 2025-11-12 12-25-01,img024448.png,314,451,317,603,372,372,470,328,,,675,522,809,589,809,695,,,570,404,500,463,524,519,446,492,,,,,,,,,561,476,426,570
labeled-data,Rat 4 2025-11-12 12-25-01,img025017.png,412,421,479,544,482,345,591,330,658,425,689,520,797,579,843,665,,,571,468,527,535,,,,,344,549,,,,,,,571,519,467,567
labeled-data,Rat 4 2025-11-12 12-25-01,img026723.png,573,448,530,564,,,359,375,384,525,526,593,665,593,776,570,,,,,,,608,536,,,,,,,500,456,,,530,519,,
