rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,RAT 11 FR1 10-02-25,img00100.png,982,411,,,928,387,779,312,636,417,568,486,410,373,401,443,,,,,,,692,611,,,1111,461,959,455,693,484,675,565,,,916,621
labeled-data,RAT 11 FR1 10-02-25,img00270.png,908,400,,,862,385,724,315,586,469,538,556,415,575,231,587,325,517,,,,,725,657,,,910,631,849,524,736,538,687,630,,,,
labeled-data,RAT 11 FR1 10-02-25,img00814.png,,,,,,,756,361,638,529,565,646,440,625,309,594,,,,,,,868,705,,,1020,425,919,394,842,564,800,678,,,981,540
labeled-data,RAT 11 FR1 10-02-25,img01434.png,,,,,,,758,396,662,578,557,708,,,,,,,,,,,829,715,,,1020,470,944,435,829,607,,,,,,
labeled-data,RAT 11 FR1 10-02-25,img01441.png,,,,,,,758,396,662,578,556,707,,,,,,,,,,,829,712,,,,,912,419,829,607,,,,,1013,529
labeled-data,RAT 11 FR1 10-02-25,img01647.png,,,,,925,313,788,357,663,546,587,702,,,,,,,,,,,829,715,,,,,1013,375,827,602,,,,,,
labeled-data,RAT 11 FR1 10-02-25,img01894.png,,,,,,,812,359,763,567,666,712,,,,,,,,,,,917,699,,,,,,,919,565,863,689,,,,
labeled-data,RAT 11 FR1 10-02-25,img02101.png,911,458,,,835,412,724,345,575,450,535,515,327,480,210,552,138,689,,,,,681,645,,,902,649,838,569,674,540,679,616,,,,
labeled-data,RAT 11 FR1 10-02-25,img02216.png,934,407,,,882,379,798,316,649,446,599,508,456,549,264,614,,,,,,,786,595,,,925,647,864,517,768,522,740,593,,,,
labeled-data,RAT 11 FR1 10-02-25,img02603.png,,,,,,,851,358,704,614,,,,,,,,,,,,,933,715,,,,,,,925,589,886,710,,,,
labeled-data,RAT 11 FR1 10-02-25,img02800.png,881,369,,,843,354,727,287,616,445,597,539,557,642,461,713,,,,,,,796,592,,,862,532,821,457,765,498,738,578,,,,
labeled-data,RAT 11 FR1 10-02-25,img02950.png,964,308,,,913,328,775,307,661,460,605,532,441,588,276,670,,,,,831,594,752,620,,,1120,474,987,472,771,535,728,600,,,,
labeled-data,RAT 11 FR1 10-02-25,img03184.png,978,322,1163,374,879,339,723,322,596,491,555,632,367,680,182,706,,,,,779,611,772,681,,,1006,531,920,495,729,553,729,655,,,,
labeled-data,RAT 11 FR1 10-02-25,img03304.png,,,,,,,929,311,766,577,659,714,425,687,219,711,,,,,,,983,715,,,,,,,975,584,913,711,,,,
labeled-data,RAT 11 FR1 10-02-25,img03347.png,,,,,,,829,356,791,595,,,,,,,,,,,,,985,712,,,1017,482,,,950,595,916,711,,,1019,526
labeled-data,RAT 11 FR1 10-02-25,img03669.png,,,,,,,778,369,674,574,,,,,,,,,,,,,873,712,,,,,911,425,858,597,803,703,,,,
labeled-data,RAT 11 FR1 10-02-25,img04132.png,,,,,889,370,726,321,593,486,538,582,371,630,270,589,,,,,,,781,610,,,,,956,454,769,527,735,599,,,,
labeled-data,RAT 11 FR1 10-02-25,img04673.png,,,,,,,766,349,650,505,574,628,394,614,232,674,,,,,,,817,671,,,,,945,397,815,569,767,662,,,,
labeled-data,RAT 11 FR1 10-02-25,img04683.png,,,,,,,762,361,611,518,551,635,397,625,206,678,,,,,,,813,674,,,,,928,424,795,568,772,663,,,,
labeled-data,RAT 11 FR1 10-02-25,img05235.png,888,423,,,815,394,687,348,576,483,525,583,355,556,224,586,,,,,,,745,606,,,938,545,822,527,713,514,703,589,,,,
labeled-data,RAT 11 FR1 10-02-25,img05811.png,,,,,,,801,379,689,597,,,,,,,,,,,,,927,709,,,,,949,424,904,587,867,701,,,,
labeled-data,RAT 11 FR1 10-02-25,img05940.png,,,,,,,822,304,768,505,720,641,656,711,,,,,,,,,896,660,,,,,,,937,490,861,624,,,,
labeled-data,RAT 11 FR1 10-02-25,img06115.png,,,,,,,757,369,637,531,583,657,421,661,292,712,,,,,,,829,710,,,,,898,416,804,607,772,692,,,,
labeled-data,RAT 11 FR1 10-02-25,img06461.png,667,491,,,725,409,789,357,,,,,581,476,375,539,,,,,,,,,781,583,,,,,,,,,,,723,679
labeled-data,RAT 11 FR1 10-02-25,img06488.png,871,483,,,807,413,768,337,,,,,602,480,372,538,,,,,,,,,,,788,614,,,,,,,,,,
labeled-data,RAT 11 FR1 10-02-25,img06992.png,898,341,,,836,345,739,318,621,472,597,548,433,643,223,701,,,,,,,773,557,,,925,511,856,457,770,461,727,544,,,,
labeled-data,RAT 11 FR1 10-02-25,img07090.png,867,423,,,838,361,785,290,,,,,622,482,416,508,,,,,,,,,,,,,,,,,,,,,,
labeled-data,RAT 11 FR1 10-02-25,img07754.png,985,437,,,940,422,806,340,626,514,562,650,431,711,,,,,,,,,845,691,,,1000,608,930,546,809,587,780,680,,,,
labeled-data,RAT 11 FR1 10-02-25,img08450.png,910,453,,,838,408,693,345,595,508,534,601,392,570,,,,,,,,,781,646,,,937,586,858,540,766,546,732,631,,,,
labeled-data,RAT 11 FR1 10-02-25,img08759.png,,,,,,,762,357,648,526,555,667,444,710,,,,,,,,,845,682,,,,,931,417,826,586,782,665,,,,
labeled-data,RAT 11 FR1 10-02-25,img08943.png,,,,,,,841,307,788,420,723,572,657,674,,,,,,,,,888,640,,,,,,,905,506,853,612,,,,
labeled-data,RAT 11 FR1 10-02-25,img09322.png,,,,,871,284,775,284,713,502,681,583,520,658,274,696,,,,,,,849,618,,,,,,,853,509,793,598,,,,
labeled-data,RAT 11 FR1 10-02-25,img09669.png,961,309,,,900,325,751,319,669,462,635,571,464,555,329,612,,,,,885,627,760,666,,,1127,472,981,431,758,501,729,631,825,613,,
labeled-data,RAT 11 FR1 10-02-25,img09930.png,966,317,,,904,335,714,328,625,507,595,641,449,626,357,573,,,,,,,828,697,,,1140,463,1008,467,786,545,781,675,,,,
labeled-data,RAT 11 FR1 10-02-25,img10005.png,,,,,,,725,362,622,537,574,662,397,657,,,,,,,,,834,694,,,1008,428,891,408,783,557,772,670,,,984,530
labeled-data,RAT 11 FR1 10-02-25,img10918.png,,,,,,,846,334,712,553,633,701,,,,,,,,,,,883,700,,,,,1005,398,885,598,,,,,,
labeled-data,RAT 11 FR1 10-02-25,img10986.png,897,428,,,837,408,704,360,623,585,587,703,,,,,,,,,,,802,633,,,956,558,870,561,793,556,750,635,,,,
labeled-data,RAT 11 FR1 10-02-25,img11814.png,886,397,,,815,378,682,334,578,492,534,618,373,646,254,710,,,,,,,769,610,,,926,527,836,508,755,513,711,604,,,,
labeled-data,RAT 11 FR1 10-02-25,img12103.png,,,,,,,762,369,621,517,540,678,377,689,167,698,,,,,,,790,714,,,,,947,416,806,597,738,700,,,,
labeled-data,RAT 11 FR1 10-02-25,img12129.png,883,428,,,834,431,699,386,591,543,512,696,323,675,122,702,,,,,,,788,712,,,949,560,874,546,786,567,728,696,,,,
labeled-data,RAT 11 FR1 10-02-25,img12205.png,939,488,,,868,450,696,371,582,546,527,692,315,678,152,713,,,,,,,788,710,,,956,678,881,569,788,600,733,698,,,,
labeled-data,RAT 11 FR1 10-02-25,img12225.png,933,488,,,861,460,713,358,569,563,525,691,339,681,157,709,,,,,,,787,712,,,,,867,605,769,601,735,701,,,,
labeled-data,RAT 11 FR1 10-02-25,img12323.png,,,,,,,794,365,695,575,615,705,429,676,241,710,,,,,,,902,711,,,,,945,418,893,590,837,700,,,,
labeled-data,RAT 11 FR1 10-02-25,img12493.png,1027,316,,,908,320,721,345,663,611,,,375,699,,,,,,,,,891,711,,,1056,469,952,456,871,582,837,697,,,,
labeled-data,RAT 11 FR1 10-02-25,img12620.png,,,,,,,780,384,703,614,,,,,,,,,,,,,887,707,,,1033,445,948,418,,,,,,,1015,531
labeled-data,RAT 11 FR1 10-02-25,img13592.png,,,,,862,394,763,394,730,657,,,,,,,,,,,,,927,688,,,1007,434,926,445,908,599,876,702,,,,
labeled-data,RAT 11 FR1 10-02-25,img13839.png,,,,,,,798,360,663,559,610,662,381,684,,,,,,,,,875,695,,,,,956,456,869,584,824,685,,,,
labeled-data,RAT 11 FR1 10-02-25,img14014.png,910,388,,,847,389,735,339,616,478,576,542,448,539,301,626,,,,,,,736,649,,,993,685,900,560,705,535,696,614,,,,
labeled-data,RAT 11 FR1 10-02-25,img14179.png,,,,,,,786,368,683,605,,,,,304,714,322,584,,,,,904,709,,,,,,,886,600,818,708,,,1019,530
