rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,RAT 4 FR1 10-03-25,img00462.png,1048,286,1193,436,900,312,757,350,692,451,634,586,495,560,379,529,276,573,,,876,613,806,697,,,1161,479,1036,503,796,569,763,655,,,,
labeled-data,RAT 4 FR1 10-03-25,img00983.png,,,,,927,388,780,322,652,396,624,522,549,516,440,522,366,509,,,,,716,614,950,515,,,979,478,712,494,716,581,,,,
labeled-data,RAT 4 FR1 10-03-25,img01178.png,995,318,1177,438,856,327,725,353,663,443,645,558,549,528,457,516,359,522,,,829,616,751,688,,,976,583,933,525,726,543,742,649,804,594,1015,538
labeled-data,RAT 4 FR1 10-03-25,img01487.png,923,345,1042,428,788,316,667,374,640,488,622,597,518,646,413,674,306,704,,,,,878,609,,,920,514,861,492,807,485,811,598,,,,
labeled-data,RAT 4 FR1 10-03-25,img01545.png,890,232,1002,212,778,280,679,350,634,461,617,593,529,637,419,671,309,701,,,,,879,610,,,,,907,420,813,500,808,593,,,,
labeled-data,RAT 4 FR1 10-03-25,img01885.png,961,510,1178,495,882,407,779,361,687,431,651,534,549,539,473,529,400,560,,,,,774,637,,,1003,702,904,623,745,515,731,597,,,,
labeled-data,RAT 4 FR1 10-03-25,img02745.png,923,500,1042,556,852,370,732,323,662,420,627,548,541,570,444,577,368,614,,,,,854,610,,,,,,,789,490,805,583,,,,
labeled-data,RAT 4 FR1 10-03-25,img03151.png,976,308,1199,395,861,310,770,351,714,430,672,535,562,539,461,547,380,592,,,874,584,837,627,,,1090,471,995,485,800,513,808,588,,,,
labeled-data,RAT 4 FR1 10-03-25,img03384.png,924,523,1057,575,870,407,789,326,696,397,673,520,572,528,475,539,382,604,,,,,838,595,,,,,,,795,497,796,569,,,,
labeled-data,RAT 4 FR1 10-03-25,img03543.png,963,423,,,889,421,787,332,677,496,647,570,530,530,421,539,,,,,847,583,805,688,,,,,,,758,574,787,657,,,,
labeled-data,RAT 4 FR1 10-03-25,img03698.png,888,440,1035,533,817,364,713,351,666,427,642,528,552,497,451,505,394,582,,,,,790,633,,,,,,,742,502,769,597,,,1002,445
labeled-data,RAT 4 FR1 10-03-25,img04298.png,987,296,1141,412,865,311,726,342,652,437,614,548,520,592,421,613,344,646,,,,,761,621,,,1078,449,987,479,743,531,723,601,,,,
labeled-data,RAT 4 FR1 10-03-25,img04575.png,,,,,,,768,324,646,443,634,552,524,553,400,574,,,,,838,585,774,621,,,,,,,750,532,760,597,796,580,,
labeled-data,RAT 4 FR1 10-03-25,img05300.png,,,,,,,799,329,674,439,664,540,547,532,450,515,,,,,,,769,608,,,1005,546,945,485,751,512,,,,,,
labeled-data,RAT 4 FR1 10-03-25,img05846.png,850,390,950,487,755,328,661,359,609,469,575,585,446,621,299,662,151,654,,,,,826,599,,,851,572,839,520,800,503,762,589,,,,
labeled-data,RAT 4 FR1 10-03-25,img06762.png,945,327,,,808,344,691,422,656,534,617,598,507,574,398,576,314,626,,,,,844,689,,,1068,421,1031,456,831,582,799,666,,,,
labeled-data,RAT 4 FR1 10-03-25,img07269.png,925,427,1035,539,803,361,680,396,633,504,586,614,485,596,425,548,353,588,,,851,603,813,659,,,978,551,898,542,784,552,763,635,801,602,,
labeled-data,RAT 4 FR1 10-03-25,img07277.png,924,444,1039,532,831,382,689,386,630,490,595,607,480,594,426,545,346,584,,,869,609,806,655,,,991,555,900,566,790,535,756,627,,,,
labeled-data,RAT 4 FR1 10-03-25,img07323.png,907,356,1003,404,795,338,670,367,605,484,580,610,485,595,426,547,353,575,,,,,828,669,,,945,532,901,489,789,537,753,633,,,,
labeled-data,RAT 4 FR1 10-03-25,img07500.png,720,206,667,158,654,297,620,392,624,531,596,633,487,615,411,578,341,586,,,,,839,619,,,,,811,316,820,509,774,620,,,,
labeled-data,RAT 4 FR1 10-03-25,img07538.png,901,416,,,829,373,742,396,690,470,659,575,548,618,426,603,329,610,,,,,844,572,,,,,904,504,849,511,,,,,,
labeled-data,RAT 4 FR1 10-03-25,img07560.png,880,274,,,819,303,726,348,688,493,655,586,534,626,348,604,,,,,,,837,574,,,,,,,816,483,805,577,,,,
labeled-data,RAT 4 FR1 10-03-25,img08361.png,926,441,1034,528,834,370,715,344,628,430,587,559,499,540,399,533,337,615,,,781,566,770,640,,,,,,,757,531,716,605,,,,
labeled-data,RAT 4 FR1 10-03-25,img08522.png,993,584,1130,465,877,502,790,427,683,421,616,542,520,536,417,536,337,617,,,,,771,643,,,,,,,708,561,,,,,,
labeled-data,RAT 4 FR1 10-03-25,img09397.png,942,414,1138,478,826,349,711,375,671,453,670,562,576,544,480,544,382,539,,,928,626,789,665,,,1056,555,946,555,763,543,769,626,846,600,,
labeled-data,RAT 4 FR1 10-03-25,img10099.png,982,509,1075,659,901,391,757,334,667,404,611,522,507,512,437,501,374,554,,,,,736,638,,,919,670,846,589,733,507,724,584,,,,
labeled-data,RAT 4 FR1 10-03-25,img10175.png,967,371,,,899,385,795,342,666,468,641,541,533,515,414,503,,,,,,,727,644,,,985,664,924,554,725,531,727,603,,,,
labeled-data,RAT 4 FR1 10-03-25,img10690.png,981,504,1177,592,883,419,749,382,666,467,623,564,525,571,428,560,365,550,,,,,746,665,,,1004,716,890,641,735,547,729,627,,,,
