rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ai7,img005.png,799,430,888,497,742,396,685,395,635,439,603,495,548,503,488,497,453,481,,,,,699,541,,,829,522,790,513,695,470,661,529,,,,
labeled-data,ai7,img010.png,763,427,777,533,734,391,682,389,639,429,609,486,552,498,494,496,454,483,,,,,695,542,,,731,546,710,509,666,471,661,527,,,,
labeled-data,ai7,img011.png,753,438,751,550,739,397,692,390,646,420,615,486,565,495,502,500,462,489,,,,,686,540,794,507,720,562,697,497,661,470,662,526,,,769,559
labeled-data,ai7,img017.png,735,426,768,508,732,405,726,391,703,394,,,639,491,532,488,419,505,,,,,670,537,783,520,717,563,684,519,647,472,664,524,,,768,564
labeled-data,ai7,img020.png,,,809,364,686,389,652,420,636,464,,,637,495,531,488,418,510,,,731,529,672,540,777,492,717,564,701,500,648,486,669,527,,,772,541
labeled-data,ai7,img027.png,790,178,900,103,756,243,717,312,686,378,655,459,587,493,503,493,449,476,783,436,744,509,674,534,869,288,897,218,842,254,703,416,671,482,731,493,908,238
labeled-data,ai7,img028.png,803,177,917,94,767,249,734,307,693,379,671,458,611,486,539,497,478,484,796,439,818,520,698,503,880,278,919,222,865,245,704,420,689,477,770,506,912,213
labeled-data,ai7,img029.png,809,169,927,95,778,245,738,321,704,406,687,475,632,493,558,499,504,490,817,450,845,548,726,554,,,936,233,871,260,739,437,722,516,797,528,922,218
labeled-data,ai7,img033.png,822,165,917,74,805,245,773,334,747,413,715,512,651,511,583,502,529,496,843,473,854,549,725,571,,,947,251,897,263,764,459,725,545,800,538,929,218
labeled-data,ai7,img037.png,833,161,924,60,806,244,778,318,746,409,715,514,654,511,587,502,530,496,841,476,843,546,725,572,,,944,255,887,267,763,470,725,543,796,536,930,223
labeled-data,ai7,img039.png,830,160,930,65,807,244,777,327,747,414,717,514,657,514,591,501,530,496,843,479,848,549,723,569,,,949,255,883,272,757,474,726,544,799,535,929,225
labeled-data,ai7,img044.png,832,161,935,70,808,239,777,327,748,414,717,514,656,513,591,503,530,496,842,483,846,549,724,568,,,945,253,881,272,761,481,727,542,797,533,931,223
labeled-data,ai7,img045.png,834,165,935,71,807,250,775,332,745,418,716,513,653,511,588,503,532,497,841,474,849,548,724,571,,,940,255,890,271,765,465,729,536,800,536,930,223
labeled-data,ai7,img048.png,827,170,943,86,805,245,775,327,745,415,715,515,653,511,592,502,530,498,839,479,843,548,727,566,,,942,261,889,271,754,476,725,540,798,538,931,227
labeled-data,ai7,img057.png,790,437,768,575,795,408,799,385,799,361,711,521,660,510,609,502,555,497,862,449,863,551,721,564,852,530,733,587,737,523,718,469,,,,,829,594
labeled-data,ai7,img061.png,717,466,623,590,759,447,782,418,777,383,,,647,507,598,500,557,494,850,479,849,546,,,823,514,734,584,,,,,,,,,815,588
labeled-data,ai7,img063.png,682,467,562,578,729,448,752,414,768,392,,,,,,,,,829,478,853,548,,,738,563,651,586,,,,,,,812,543,,
labeled-data,ai7,img067.png,558,480,445,597,602,455,664,402,756,409,797,491,813,499,,,,,758,478,742,545,,,614,581,641,595,,,,,,,779,510,553,623
labeled-data,ai7,img072.png,409,491,296,601,495,459,581,422,669,433,747,496,789,498,820,504,,,657,531,648,612,,,429,603,376,607,,,,,,,688,584,377,625
labeled-data,ai7,img073.png,383,494,274,602,456,468,546,432,647,431,736,493,769,496,800,501,830,509,642,535,637,615,,,459,593,380,608,,,,,,,678,590,382,625
labeled-data,ai7,img076.png,375,487,252,604,451,458,545,428,633,449,693,504,737,516,794,529,846,528,626,532,647,613,,,447,588,379,610,,,,,,,672,568,385,626
labeled-data,ai7,img077.png,376,488,265,621,443,452,534,424,628,452,685,507,738,522,797,530,847,531,624,538,646,613,489,593,445,588,381,608,,,,,,,667,566,387,626
labeled-data,ai7,img078.png,363,488,290,622,431,455,503,419,602,438,670,511,716,526,779,531,848,532,600,516,637,607,498,590,432,599,381,610,,,,,537,580,653,551,392,620
labeled-data,ai7,img081.png,409,471,365,611,453,440,502,416,567,420,661,526,726,530,792,526,842,532,590,515,576,610,503,589,462,592,,,,,,,540,576,614,581,417,621
labeled-data,ai7,img087.png,540,461,569,636,550,442,564,420,586,409,657,530,717,534,778,528,848,525,637,502,,,,,,,463,617,458,551,,,,,,,,
labeled-data,ai7,img090.png,604,495,734,632,552,480,528,447,554,411,,,688,532,765,528,842,520,621,458,,,489,590,,,590,679,548,624,470,511,,,,,,
labeled-data,ai7,img092.png,678,501,841,606,623,487,590,460,570,426,,,,,762,521,813,516,,,,,495,586,,,586,676,561,589,490,506,,,,,805,654
labeled-data,ai7,img093.png,724,504,886,590,668,489,625,472,578,435,,,,,,,,,,,,,494,584,,,600,668,589,587,506,519,,,,,805,661
labeled-data,ai7,img106.png,919,367,1070,283,848,403,767,434,694,505,632,599,549,598,483,576,435,548,,,843,625,791,706,,,1062,401,1009,455,766,612,732,680,,,996,543
labeled-data,ai7,img107.png,922,360,1069,257,856,403,774,440,703,507,638,606,549,601,484,577,432,548,,,831,648,791,706,,,1070,400,1017,454,767,609,733,678,,,,
labeled-data,ai7,img109.png,927,352,1080,241,863,399,790,434,717,498,647,607,551,604,484,577,432,548,,,828,648,791,706,,,1090,396,1031,440,763,605,733,678,,,1072,451
labeled-data,ai7,img110.png,932,326,1087,245,867,388,779,444,707,523,651,606,578,609,495,585,433,549,,,829,648,799,707,,,1092,399,1024,448,774,602,734,675,,,1069,454
labeled-data,ai7,img118.png,903,344,1070,295,835,402,751,454,701,528,654,618,563,609,487,580,432,550,,,828,648,793,706,,,1091,403,1022,444,776,608,735,678,,,1066,457
labeled-data,ai7,img123.png,919,347,1072,252,856,395,779,436,709,514,656,617,560,609,489,583,432,548,,,826,647,787,705,,,1093,399,1032,440,769,616,735,678,,,1072,444
labeled-data,ai7,img128.png,938,280,1092,225,889,355,806,432,732,516,669,611,563,607,486,582,432,551,,,843,647,798,706,,,1097,404,1031,429,788,617,738,672,,,1077,387
