rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ai3,img000.png,792,408,923,537,735,361,685,332,615,350,556,449,477,437,402,484,365,540,,,,,683,533,,,771,549,734,530,637,447,639,514,,,824,572
labeled-data,ai3,img001.png,784,404,922,527,739,362,678,333,605,367,561,448,507,434,452,443,410,467,,,,,668,529,,,,,729,521,619,461,639,517,,,817,572
labeled-data,ai3,img003.png,793,401,929,493,740,370,691,339,624,349,562,454,508,439,454,444,409,467,,,,,688,539,,,,,741,528,616,457,636,513,,,814,569
labeled-data,ai3,img007.png,792,374,951,433,735,350,687,337,616,376,567,454,509,451,455,452,411,469,,,,,683,533,,,767,584,739,531,640,453,639,516,,,818,567
labeled-data,ai3,img010.png,803,363,968,395,740,347,683,336,630,362,,,569,453,475,448,407,470,,,,,676,530,826,497,766,584,740,512,623,454,638,516,,,817,564
labeled-data,ai3,img011.png,795,356,965,392,749,350,705,335,651,344,,,569,455,485,447,407,472,,,,,686,536,827,507,770,588,748,519,629,450,638,511,,,821,565
labeled-data,ai3,img013.png,802,346,967,353,750,348,708,337,666,340,,,574,455,482,446,404,473,,,,,682,538,823,503,766,583,753,510,621,449,641,521,,,816,567
labeled-data,ai3,img015.png,759,349,969,339,733,342,695,337,659,345,573,455,515,448,460,448,411,470,,,,,690,535,,,769,587,750,520,625,462,640,515,,,817,571
labeled-data,ai3,img026.png,766,404,758,566,758,369,725,343,672,334,,,572,457,490,449,413,461,,,,,675,530,827,509,744,582,691,503,625,452,636,510,,,816,566
labeled-data,ai3,img027.png,744,419,705,562,737,375,701,344,657,338,,,571,458,492,451,419,457,,,,,,,820,486,658,554,,,590,453,,,,,815,571
labeled-data,ai3,img031.png,645,418,537,581,665,384,671,351,658,327,,,569,454,491,450,418,437,,,,,,,767,487,637,590,,,,,,,,,816,565
labeled-data,ai3,img032.png,634,411,511,580,674,386,687,349,647,323,,,549,451,480,445,429,438,750,392,751,525,,,744,494,632,583,,,,,,,,,731,555
labeled-data,ai3,img037.png,503,436,367,601,551,401,595,372,638,335,,,,,,,,,729,426,734,518,,,565,566,,,,,,,,,715,494,496,610
labeled-data,ai3,img040.png,440,435,295,613,499,402,553,360,602,330,,,,,,,,,682,423,737,514,,,538,544,,,,,,,,,709,469,500,610
labeled-data,ai3,img042.png,383,445,235,622,452,401,512,351,588,328,686,430,700,419,684,412,,,650,453,593,533,,,529,536,,,,,,,,,619,510,499,609
labeled-data,ai3,img044.png,368,443,205,623,443,397,524,340,617,357,685,441,716,420,665,411,,,623,462,568,567,,,472,524,368,601,,,,,,,611,537,449,585
labeled-data,ai3,img047.png,348,448,174,636,435,409,510,365,603,351,691,437,726,408,668,404,,,616,480,571,566,,,430,575,,,,,,,,,613,543,373,624
labeled-data,ai3,img049.png,341,447,172,602,439,403,528,357,622,368,693,441,732,412,670,405,,,606,455,571,564,,,441,564,359,600,,,,,,,610,534,375,626
