rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ai5,img002.png,798,351,991,283,723,356,622,370,541,441,467,540,382,523,375,472,466,448,,,700,569,711,625,,,877,627,830,522,663,510,631,606,,,,
labeled-data,ai5,img005.png,826,329,1026,255,740,345,646,367,573,423,481,535,392,521,368,483,456,455,,,699,571,712,629,,,963,379,868,433,672,521,634,605,,,925,401
labeled-data,ai5,img016.png,837,261,1025,165,745,322,646,374,573,442,503,533,427,540,373,527,380,505,,,697,575,693,628,,,970,416,897,410,692,522,620,592,,,951,397
labeled-data,ai5,img020.png,823,257,994,150,751,321,661,371,594,436,499,535,401,540,372,508,411,472,,,696,577,696,627,,,963,414,885,414,688,524,624,591,,,959,397
labeled-data,ai5,img021.png,823,257,996,147,756,313,670,371,587,439,499,535,407,544,371,513,409,474,,,695,578,690,629,,,962,419,886,412,692,522,622,589,,,942,362
labeled-data,ai5,img024.png,855,215,1031,86,778,274,688,351,604,439,527,527,424,547,362,534,400,508,,,693,575,694,628,,,960,414,886,388,701,514,634,579,,,,
labeled-data,ai5,img025.png,878,186,1033,72,796,259,703,336,621,417,540,517,453,541,374,540,399,508,,,692,576,707,630,,,968,420,889,372,714,495,629,578,605,568,1003,214
labeled-data,ai5,img035.png,840,211,,,773,273,690,333,609,433,538,540,422,553,356,540,411,512,,,692,581,698,633,,,971,423,897,381,713,510,631,597,,,1001,228
labeled-data,ai5,img037.png,831,229,,,749,286,668,345,603,430,543,543,443,555,358,528,430,503,,,,,706,635,,,970,420,897,390,709,516,618,596,,,955,236
labeled-data,ai5,img041.png,826,301,,,749,310,657,346,592,443,543,558,430,559,358,519,448,503,,,,,699,634,,,895,400,880,367,695,519,619,598,,,843,476
labeled-data,ai5,img043.png,836,313,,,747,310,646,363,596,449,540,554,424,556,353,525,449,503,,,,,697,633,,,827,490,821,453,699,516,622,596,,,,
labeled-data,ai5,img047.png,,,,,788,333,703,354,632,425,590,525,481,555,382,545,431,510,,,697,572,809,561,,,851,531,850,503,785,457,766,566,649,572,,
labeled-data,ai5,img049.png,840,211,,,794,342,716,377,682,443,646,530,541,564,434,567,384,549,,,701,576,821,572,,,848,531,874,484,793,509,772,586,650,565,1001,228
labeled-data,ai5,img055.png,,,,,817,340,738,382,702,446,669,527,575,570,455,586,372,575,,,697,575,819,575,,,847,533,867,482,796,475,777,565,659,561,,
labeled-data,ai5,img060.png,,,,,804,337,719,375,689,438,666,534,581,579,467,602,368,592,,,703,575,833,572,,,847,533,874,448,829,490,777,562,671,572,,
labeled-data,ai5,img062.png,,,,,795,330,759,381,721,446,685,532,590,578,454,604,365,592,679,439,705,571,826,566,,,848,533,,,833,488,780,567,666,564,,
labeled-data,ai5,img063.png,,,637,446,784,336,766,381,725,439,674,535,582,581,467,602,368,593,673,474,703,575,832,566,,,850,534,,,821,487,781,567,671,572,,
labeled-data,ai5,img066.png,705,367,594,453,775,320,763,391,738,453,695,530,606,577,478,604,368,595,685,464,701,570,823,563,,,,,,,862,451,785,570,,,,
labeled-data,ai5,img067.png,691,366,584,451,763,313,764,372,744,442,698,529,608,583,478,607,372,595,678,480,,,820,565,,,,,,,839,471,788,570,,,,
labeled-data,ai5,img070.png,652,369,530,456,734,314,764,369,749,442,724,530,636,594,516,613,404,607,675,469,633,548,826,567,,,,,646,456,844,465,793,572,671,556,625,510
labeled-data,ai5,img072.png,613,369,494,461,706,319,753,362,750,443,736,534,645,605,523,627,393,620,671,458,636,547,826,564,,,577,488,622,452,837,457,800,574,676,556,625,513
labeled-data,ai5,img074.png,573,369,454,479,647,340,727,338,770,429,752,517,678,601,523,635,398,630,662,484,639,548,846,566,557,498,,,,,824,461,816,543,681,556,496,525
labeled-data,ai5,img086.png,464,390,388,479,554,339,659,325,735,388,766,490,749,573,667,621,530,655,660,466,649,551,,,513,487,,,,,,,,,701,529,493,532
labeled-data,ai5,img088.png,434,387,359,520,529,360,633,319,735,384,768,487,750,580,657,626,531,656,654,455,644,548,,,514,493,,,,,,,,,702,529,482,531
labeled-data,ai5,img089.png,451,380,,,540,355,625,320,728,373,766,486,767,564,680,619,539,653,652,453,646,551,,,508,479,,,,,,,,,703,526,488,530
labeled-data,ai5,img090.png,449,384,401,508,559,341,656,330,728,387,771,482,763,578,676,625,543,655,654,466,647,550,,,491,485,,,,,,,,,704,525,489,533
labeled-data,ai5,img091.png,447,378,,,531,355,628,321,720,375,770,483,783,570,706,623,572,658,,,,,648,552,,,489,534,496,473,638,449,705,523,,,,
labeled-data,ai5,img098.png,,,,,428,354,537,317,645,372,710,456,769,524,761,611,620,668,565,433,644,555,541,542,,,392,525,413,480,,,599,522,679,504,509,521
labeled-data,ai5,img101.png,,,,,442,311,508,307,598,360,659,459,722,516,745,619,632,672,514,408,528,530,557,545,385,457,,,,,,,600,528,574,469,397,527
labeled-data,ai5,img103.png,,,,,446,305,508,307,585,375,634,482,715,539,749,618,650,687,477,417,393,537,539,543,384,449,515,524,,,,,596,523,473,539,399,521
labeled-data,ai5,img106.png,,,,,450,312,508,381,559,437,608,505,694,543,777,592,747,716,446,446,375,561,534,545,,,,,,,577,388,,,455,559,,
labeled-data,ai5,img107.png,,,,,436,324,481,359,529,408,598,511,703,548,782,605,768,711,424,457,386,556,538,550,373,447,,,,,577,388,,,458,557,402,524
labeled-data,ai5,img109.png,,,,,443,314,476,355,515,408,588,520,697,562,782,605,798,709,412,464,386,556,536,554,369,454,,,,,567,384,,,454,555,402,524
labeled-data,ai5,img113.png,,,,,448,312,483,371,523,437,577,523,668,561,774,607,830,711,442,442,390,557,,,,,,,,,567,415,,,445,558,,
labeled-data,ai5,img122.png,,,,,478,315,481,356,501,418,541,547,640,599,768,626,879,693,412,450,386,556,,,379,453,,,,,571,418,,,448,560,,
labeled-data,ai5,img129.png,,,,,464,318,487,391,513,466,545,546,644,599,770,630,882,691,425,455,383,556,,,,,,,,,570,427,,,443,561,,
labeled-data,ai5,img134.png,468,318,,,447,373,451,433,478,498,532,554,632,600,768,630,883,691,379,470,384,556,561,543,,,,,,,562,434,,,440,563,,
labeled-data,ai5,img142.png,460,316,,,477,362,490,422,495,483,526,551,628,610,770,632,891,688,405,466,383,557,561,544,,,,,,,571,429,,,439,565,,
labeled-data,ai5,img154.png,481,330,,,483,381,489,437,492,497,509,543,589,609,707,640,826,668,401,497,378,558,557,545,,,,,,,560,440,,,428,566,,
