rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,RAT 4 FR1 10-02-25,img00031.png,897,377,,,,,751,336,634,513,589,632,423,692,275,713,,,,,,,820,665,,,944,510,865,487,799,533,773,659,,,,
labeled-data,RAT 4 FR1 10-02-25,img00093.png,,,,,942,312,802,309,665,472,600,629,471,684,284,709,,,,,,,820,666,,,,,1030,372,806,564,776,657,,,955,534
labeled-data,RAT 4 FR1 10-02-25,img00247.png,,,,,,,806,386,719,540,633,631,529,680,339,711,,,,,,,830,672,,,972,542,932,436,844,570,788,656,,,,
labeled-data,RAT 4 FR1 10-02-25,img00310.png,,,,,,,778,356,698,476,623,623,524,678,350,704,,,,,,,830,668,,,935,520,891,445,819,540,777,654,,,,
labeled-data,RAT 4 FR1 10-02-25,img00467.png,970,359,,,905,366,768,327,634,486,607,555,503,534,382,518,,,,,,,761,661,,,1009,516,934,483,737,572,731,637,,,,
labeled-data,RAT 4 FR1 10-02-25,img00580.png,,,,,915,407,770,317,637,466,581,562,470,533,379,507,,,,,,,825,617,,,939,565,909,486,781,513,781,585,,,,
labeled-data,RAT 4 FR1 10-02-25,img00608.png,,,,,,,750,320,644,464,590,564,481,534,363,517,,,,,,,828,620,,,,,,,755,494,790,598,,,,
labeled-data,RAT 4 FR1 10-02-25,img00713.png,979,383,,,903,381,757,340,643,462,604,556,490,536,376,510,,,,,843,606,786,649,,,1063,463,964,463,732,542,767,622,794,592,,
labeled-data,RAT 4 FR1 10-02-25,img00808.png,,,,,869,375,740,342,629,483,560,567,469,528,398,493,,,,,791,571,788,620,,,,,918,404,758,503,753,603,,,,
labeled-data,RAT 4 FR1 10-02-25,img00963.png,968,316,,,911,356,763,333,666,464,609,565,514,557,390,512,,,,,841,589,785,663,,,1134,457,987,424,765,538,759,625,,,,
labeled-data,RAT 4 FR1 10-02-25,img02375.png,,,,,838,382,709,337,611,458,586,532,488,502,377,511,,,,,,,791,603,,,976,508,902,469,737,506,756,586,,,,
